Group,Type,Question,CorrectAns,Answer1,Answer2,Answer3,Answer4,Answer5,Answer6,Answer7,Answer8,CorrectExplanation,IncorrectExplanation
Section 1,TMCMA,"Which of the following commands can be used to perform element-wise division of two matrices, `A` and `B`?","2, 4",`A/B`,`A ./ B`,"`mldivide(A,B)`","`mrdivide(A,B)`","`rdivide(A,B)`",,,,"`A ./ B` divides on an element-wise construct, and `rdivide(A,B)` divides each element in `A` by corresponding elements in `B`.",The operators allow element wise division.
Section 1,TMC,"Given a matrix `A`, how can you efficiently compute the inverse of the matrix?",1,`inv(A)`,`A^-1`,`mpinv(A)`,`A \ eye(size(A))`,,,,,`inv(A)` is the function of choice to perform a matrix inverse.,Computes the inverse.
Section 1,TTF,"In MATLAB, the expression `A(end, end)` always returns the last element in the matrix, regardless of whether A is a row or column vector.",1,,"A(end, end) returns the last row AND last column element, while A(end) only returns the last element for a vector.",,,,,,,Needs to be a matrix.,
Section 1,TMC,"You have a 2D matrix representing pixel intensities of a grayscale image, where pixel values range from 0 to 255. You need to apply a contrast stretching transformation to enhance the image. The transformation maps the original range [minIntensity, maxIntensity] to the full range [0, 255]. What is the MOST efficient way to implement this in MATLAB?",2,Use nested loops to iterate over each pixel and apply the transformation.,Use vectorized operations with linear scaling and clipping to map the pixel intensities to the new range.,Use the `imadjust` function from the Image Processing Toolbox.,Use the `histeq` function from the Image Processing Toolbox.,,,,,Vectorization is preferred in MATLAB and avoids iteration. `imadjust` and `histeq` are typically used for other types of image enhancement.,Requires vectorized operations.
Section 1,TMCMA,Which of the following methods can be used to calculate the transpose of a matrix `A` in MATLAB?,"1, 2",`A.'`,`transpose(A)`,`A^-1`,`A'`,`cross(A)`,,,,"`A.'` is the standard way to create the transpose matrix of `A`, and `transpose(A)` performs the same operation.",Easy transpose matrix with these functions.
Section 1,TTF,"In MATLAB, `size(A)` returns a scalar value representing the total number of elements in the matrix `A`.",,1,"`size(A)` returns a vector containing the dimensions of the matrix `A`, not the total number of elements.",,,,,,,Not the total number of elements.,
Section 1,TMC,You have a matrix `A` that represents a set of data points in a high-dimensional space. You want to perform dimensionality reduction using Principal Component Analysis (PCA) to reduce the number of dimensions while preserving as much variance as possible. What is the MOST efficient way to implement this in MATLAB?,2,Implement PCA from scratch using the `eig` function.,Use the `pca` function from the Statistics and Machine Learning Toolbox and specify the desired number of principal components.,Use the `svd` function from the Statistics and Machine Learning Toolbox.,Use the `kmeans` function from the Statistics and Machine Learning Toolbox.,,,,,The `pca` function is the best function for PCA since it computes the principal components and reduces dimensions.,Best to reduce the dimensionality.
Section 1,TMCMA,Which of the following commands can be used to calculate the sum of all elements in a matrix `A`?,"1, 3",`sum(A)`,"`sum(A,1)`",`sum(A(:))`,`sum(sum(A))`,`A(:).sum()`,,,,`sum(A(:))` will sum all elements and `sum(sum(A))` sums down each row with `sum(A)` and then sums the row itself.,All elements from the matrix are now summed.
Section 1,TTF,"In MATLAB, the expression `A(end,:)` returns the last column of the matrix `A`.",,1,"`A(end,:)` returns the last row of matrix `A`. `A(:,end)` returns the last column.",,,,,,,This gets the final row.,
Section 1,TMC,You have two matrices A (m x n) and B (p x q). What are their MOST important constraints of performing the operation `C = A + B`?,2,m and p must be equal,"m, n must be equal to p, q",A + B is valid for any A and B,"There are no constraints, code will run with warnings",,,,,Addition requires both matricies to be the same to perform the matrix algebra.,This will correctly calculate a sum.
Section 1,TMCMA,"Which of the following commands can be used to perform matrix multiplication of two matrices, `A` and `B`?","2, 5",`A * B`,`A .* B`,`A/B`,`B \ A`,"`mtimes(A,B)`",,,,"`A * B` performs matrix multiplication and `mtimes(A,B)` also multiplies matrixies together.",These functions make it easier to properly multiply matrixies.
Section 1,TTF,"In MATLAB, the `diag` function can only be used to extract the diagonal elements of a square matrix.",,1,The `diag` function can also be used to create a diagonal matrix from a vector.,,,,,,,The `diag` function can also be used to create a diagonal matrix from a vector.,
Section 1,TMCMA,Which of the following methods can be used to extract the second row of a matrix 'A'?,"2, 3","A(2,:)","A(2:end,1)","A(:,2)","A(1:2,:)",,,,,"'A(2,:)' extracts the second row, and 'A(2:end,1)' extracts the second column from the first row onwards.","'A(:,2)' gives the second column, not the second row."
Section 1,TMC,"What will be the result of executing the command 'A = [1, 2; 3, 4]; A(1,2) = 10;'?",1,"A = [1, 10; 3, 4]","A = [10, 2; 3, 4]","A = [1, 2; 10, 4]","A = [1, 2; 3, 10]",,,,,The command changes the second element of the first row to 10.,Incorrect. The command specifically targets the first row and second column.
Section 1,TMC,"What will be the output of 'A = [1, 2, 3; 4, 5, 6]; A(1:2, 2)'?",1,[2; 5],"[2, 5]",[1; 4],[3; 6],,,,,"This command extracts the second column for rows 1 and 2, resulting in a column vector.","Incorrect. The output is a column vector, not a row vector."
Section 1,TMC,"What is the output of the following code: A = [1, 2, 3; 4, 5, 6]; B = A(1,:); B(2) = 10; A?",1,"A = [1, 10, 3; 4, 5, 6]","A = [1, 2, 3; 10, 5, 6]","A = [1, 2, 10; 4, 5, 6]","A = [1, 2, 3; 4, 10, 6]",,,,,The second element of B modifies A's first row due to reference passing.,"Incorrect. B is a copy of the row, changing B does not affect A."
Section 1,TMCMA,Which of the following methods can be used to create a 5x5 identity matrix?,"1, 3",eye(5),ones(5),zeros(5),I = eye(5),,,,,"'eye(5)' creates a 5x5 identity matrix, while 'ones' and 'zeros' create matrices filled with ones and zeros respectively.",Incorrect. 'ones' and 'zeros' do not produce an identity matrix.
Section 1,TMC,"What does the command 'A = [1, 2; 3, 4]; B = A(1,:); B(2) = 10; A' return?",1,"A = [1, 10; 3, 4]","A = [10, 2; 3, 4]","A = [1, 2; 10, 4]","A = [1, 2; 3, 10]",,,,,"The command modifies the second element of the first row to 10, affecting the output.",Incorrect. The command specifically targets the first row and second column.
Section 1,TMC,"What is the output of the following code: A = [1, 2, 3; 4, 5, 6]; B = A(1,:); B(2) = 10; A?",1,"A = [1, 10, 3; 4, 5, 6]","A = [1, 2, 3; 10, 5, 6]","A = [1, 2, 10; 4, 5, 6]","A = [1, 2, 3; 4, 10, 6]",,,,,The second element of B modifies A's first row due to reference passing.,"Incorrect. B is a copy of the row, changing B does not affect A."
Section 1,TMCMA,Which of the following commands will create a row vector containing the numbers 1 to 10?,"1, 3",0.048611111111111,"linspace(1,10,10)","zeros(1,10)","ones(1,10)",,,,,"'1:10' creates a row vector with elements from 1 to 10, and 'linspace' generates equally spaced numbers.","'zeros' and 'ones' create vectors filled with zeros or ones, not a sequence."
Section 1,TMC,"What is the result of executing 'A = [1, 2, 3; 4, 5, 6]; B = A(:,2); B(1) = 10; A' ?",1,"A = [1, 10; 4, 5]","A = [1, 2, 3; 4, 10, 6]","A = [1, 2, 3; 10, 5, 6]","A = [10, 2; 4, 5, 6]",,,,,"The first element of B modifies A's second column, changing it to 10.","Incorrect. The modification affects only the column, not the whole matrix."
Section 1,TMC,"What will be the output of the following command: A = [1, 2; 3, 4]; B = A(1:2, 2); B(1) = 5; A?",1,"A = [1, 5; 3, 4]","A = [5, 2; 3, 4]","A = [1, 2; 5, 4]","A = [1, 2; 3, 5]",,,,,"The first element of B modifies A's second column to 5, affecting the output.",Incorrect. The command specifically targets the second column.
Section 1,TMCMA,Which of the following commands will create a column vector containing the numbers 1 to 10?,"1, 2",(1:10)',"reshape(1:10,10,1)","zeros(10,1)","ones(10,1)",,,,,"'(1:10)' transposes the row vector to a column vector, and 'reshape' creates a column vector from a sequence.","'zeros' and 'ones' create vectors filled with zeros or ones, not a sequence."
Section 1,TMC,"What is the result of executing 'A = [1, 2, 3; 4, 5, 6]; B = A(2,:); B(1) = 10; A' ?",1,"A = [1, 2, 3; 10, 5, 6]","A = [1, 2, 3; 4, 10, 6]","A = [1, 10, 3; 4, 5, 6]","A = [10, 2, 3; 4, 5, 6]",,,,,"The first element of B modifies A's second row to 10, affecting the output accordingly.",Incorrect. The command specifically targets the second row.
Section 1,TMC,"What will be the output of the following command: A = [1, 2, 3; 4, 5, 6]; B = A(:,1); B(1) = 10; A?",1,"A = [10, 2, 3; 4, 5, 6]","A = [1, 2, 3; 10, 5, 6]","A = [1, 2, 3; 4, 10, 6]","A = [10, 2; 4, 5, 6]",,,,,"The first element of B modifies A's first column to 10, affecting the output accordingly.",Incorrect. The command specifically targets the first column.
Section 1,TMCMA,Which of the following commands will create a 3x3 matrix filled with ones?,"1, 3",ones(3),"ones(3,3)",zeros(3),"zeros(3,3)",,,,,"'ones(3)' creates a 3x3 matrix filled with ones, and 'ones(3,3)' explicitly defines the size.","'zeros(3)' creates a 3-element vector of zeros, not a matrix."
Section 1,TMC,"What is the result of executing 'A = [1, 2, 3; 4, 5, 6]; B = A(1,:); B(2) = 10; A' ?",1,"A = [1, 10, 3; 4, 5, 6]","A = [10, 2, 3; 4, 5, 6]","A = [1, 2, 3; 10, 5, 6]","A = [1, 2, 10; 4, 5, 6]",,,,,"The second element of B modifies A's first row to 10, affecting the output accordingly.",Incorrect. The command specifically targets the first row.
Section 1,TMC,"What will be the output of 'A = [1, 2, 3; 4, 5, 6]; B = A(:,2); B(1) = 10; A' ?",1,"A = [1, 10, 3; 4, 5, 6]","A = [1, 2, 3; 10, 5, 6]","A = [1, 2, 10; 4, 5, 6]","A = [10, 2; 4, 5, 6]",,,,,"The first element of B modifies A's second column to 10, affecting the output accordingly.",Incorrect. The command specifically targets the second column.
Section 1,TMCMA,Which of the following commands will create a 4x4 identity matrix?,"1, 2",eye(4),identity(4),ones(4),zeros(4),,,,,"'eye(4)' creates a 4x4 identity matrix, while 'identity' is not a valid MATLAB function.","'ones' and 'zeros' create matrices filled with ones or zeros, not an identity matrix."
Section 1,TMC,"What is the result of executing 'A = [1, 2, 3; 4, 5, 6]; B = A(1,:); B(2) = 10; A' ?",1,"A = [1, 10, 3; 4, 5, 6]","A = [1, 2, 3; 10, 5, 6]","A = [1, 2, 3; 4, 10, 6]","A = [10, 2; 4, 5, 6]",,,,,"The first element of B modifies A's second column to 10, affecting the output accordingly.",Incorrect. The command specifically targets the first row.
Section 1,TMC,"What will be the output of the following command: A = [1, 2, 3; 4, 5, 6]; B = A(2,:); B(1) = 10; A?",1,"A = [1, 2, 3; 10, 5, 6]","A = [1, 2, 3; 4, 10, 6]","A = [10, 2; 4, 5, 6]","A = [1, 10, 3; 4, 5, 6]",,,,,"The first element of B modifies A's second row to 10, affecting the output.",Incorrect. The command specifically targets the second row.
Section 1,TMC,"You've written a recursive function `factorial(n)` to calculate the factorial of a number. However, when calling `factorial(1000)`, MATLAB throws a stack overflow error. What's the MOST effective way to resolve this?",3,"Increase the recursion limit using `set(0,'RecursionLimit',10000);`",Reduce the input value `n` to a smaller number.,Rewrite the function using a loop instead of recursion.,Implement memoization within the recursive function.,,,,,Using a loop avoids the stack overflow issue inherent in deep recursion.,"Increasing the recursion limit is a temporary fix. Reducing 'n' limits the function's utility. Memoization can help, but a loop is generally preferred for factorial."
Section 1,TMC,Consider the following code snippet: `x = 5; if x > 10; disp('Greater than 10'); else disp('Less than or equal to 10'); end`. What will be displayed in the command window?,2,`Greater than 10`,`Less than or equal to 10`,An error message,Nothing will be displayed,,,,,"Since `x` is 5, which is not greater than 10, the `else` block will execute.",The `if` condition is not met.
Section 1,TMC,Which of the following is the correct syntax for defining an anonymous function in MATLAB that calculates the square of a number?,3,`square = function(x) x^2;`,`square(x) = x^2;`,`square = @(x) x^2;`,`function square(x) = x^2;`,,,,,The `@(x) x^2` is the standard way to define an anonymous function.,The other options have incorrect syntax.
Section 1,TTF,A function defined in a separate .m file *must* have the same name as the file itself.,1,,This is a requirement of MATLAB's function handling.,,,,,,,Correct requirement for standalone function files.,
Section 1,TMC,You have a MATLAB script containing a `try-catch` block. An error occurs within the `try` block. What happens next?,2,The script terminates immediately.,The code within the `catch` block is executed.,The `try` block is re-executed.,The script skips the `catch` block and continues execution.,,,,,The `catch` block is specifically designed to handle errors that occur within the `try` block.,The other options do not correctly reflect the error handling mechanism of `try-catch`.
Section 1,TMC,What is the output of the following MATLAB code? `x = 0; while x < 5; x = x + 1; if x == 3; continue; end; disp(x); end`,2,1 2 3 4 5,1 2 4 5,1 2,1 2 3,,,,,The `continue` statement skips the rest of the loop body for the current iteration when `x` is 3.,`continue` skips iteration 3.
Section 1,TMC,You have a function that needs to return multiple output arguments. What is the correct syntax for defining such a function?,3,`function [output1; output2] = myFunction(input)`,"`function output1, output2 = myFunction(input)`","`function [output1, output2] = myFunction(input)`","`function (output1, output2) = myFunction(input)`",,,,,The correct syntax uses square brackets to enclose multiple output arguments.,Correct syntax for multiple outputs.
Section 1,TTF,"A subfunction can be called from any other function within the same file, regardless of its position in the file.",,1,Subfunctions can only be called by the primary function or other subfunctions *within the same .m file*.,,,,,,,This is a core subfunction restriction.,
Section 1,TMC,"Consider the following MATLAB code snippet: `function result = myFun(a, b) if nargin < 2; b = 0; end; result = a + b; end`. What will be the output when you call `myFun(5)`?",1,5,An error will occur.,,0,,,,,"Since `nargin` is 1 (less than 2), the `if` statement will execute and set `b = 0`. The function will then return `a + b = 5 + 0 = 5`.",Correctly handles input.
Section 1,TMC,Consider the following MATLAB code: `x = 10; if x > 5 disp('A'); elseif x > 7 disp('B'); elseif x > 9 disp('C'); else disp('D'); end`. What will be displayed?,1,A,B,C,D,,,,,"Since `x > 5` is true, the first `disp('A')` will be executed, and the remaining `elseif` and `else` branches will be skipped.",The first condition is met.
Section 1,TMC,What is the purpose of the `inputname` function in MATLAB?,2,Returns the name of the function being executed.,Returns the name of the input variable passed to a function.,Returns the number of input arguments to a function.,Returns the data type of the input variable.,,,,,`inputname(argNumber)` returns the name of the variable passed as the argNumber-th argument to the calling function.,Function usage.
Section 1,TTF,"An anonymous function can access variables defined in the workspace where it was created, even if those variables are no longer in scope when the anonymous function is called.",1,,"Anonymous functions capture the values of variables in their defining scope, and they retain those values even if the original variables are later modified or go out of scope.",,,,,,,This is how closures work.,
Section 1,TMC,"You have a MATLAB function with the following signature: `function [a, b] = myFun(x, varargin)`. Inside the function, you want to check if a specific optional input argument named 'Multiplier' was provided in the `varargin` cell array and, if so, retrieve its value. How can you achieve this MOST reliably?",4,Use the `inputParser` class to parse the input arguments and check for the 'Multiplier' parameter.,Iterate through the `varargin` cell array and search for the 'Multiplier' string.,Assume that the 'Multiplier' argument is always the last element of `varargin`.,Use the `nargin` function to check the number of input arguments.,,,,,"The `inputParser` class provides a robust and flexible way to parse input arguments, handle optional parameters, and provide default values.",This allows parsing of optional parameters and inputs
Section 1,TMC,Consider the following MATLAB function: `function result = myFun(x) switch x case 1 result = 'A'; case 2 result = 'B'; otherwise result = 'C'; end end`. What will be the output when you call `myFun(3)`?,3,A,B,C,An error will occur.,,,,,"Since `x` is 3, none of the `case` values match, so the `otherwise` case will be executed, and the function will return 'C'.",The default case.
Section 1,TMC,What is the purpose of the `error` function in MATLAB?,3,To display a warning message to the user.,To display a debugging message to the user.,To signal an error condition and halt execution of the script or function.,To display the contents of the MATLAB workspace.,,,,,The `error` function is specifically designed to signal an error and stop the execution of the program.,Correct usage for function errors.
Section 1,TTF,The `return` statement is always required at the end of a MATLAB function.,,1,The `return` statement is optional. A function will implicitly return when it reaches the end of its code.,,,,,,,Only needed to exit early.,
Section 1,TMC,"Consider the following MATLAB code snippet: `function result = myFun(x, varargin) opt = struct('Name', 'DefaultName', 'Value', 0); opt = varargin{:}; result = opt.Value; end`. What is the issue with this code?",2,The `varargin` is being accessed incorrectly.,"The struct `opt` is overwritten by `varargin{:}`, causing an error.",The `varargin` cell array must first be converted to a struct to be used as input.,The code will run without any error.,,,,,"The `varargin{:}`, where varargin is a cell array is attempting to unpack the contents of `varargin` into the struct. This doesn't work.",Won't unpack into `opt` struct as written.
Section 1,TMC,Consider the following MATLAB code: `x = 5; function y = myFun(x) x = x + 1; y = x * 2; end; disp(myFun(x))`. What will be the output?,1,12,10,An error will occur.,6,,,,,"The function `myFun` is called with `x = 5`. Inside the function, `x` is incremented to 6, and then `y` is calculated as `6 * 2 = 12`.",Incremented variable in function returns incremented value.
Section 1,TMC,What is the purpose of the `arguments` block in a MATLAB function?,1,"To define the input arguments to the function, including data types, validation rules, and default values.","To define the output arguments of the function, including data types and descriptions.",To define local variables that are used within the function.,To define global variables that are accessible from within the function.,,,,,"The `arguments` block provides a structured way to define input arguments, specify their data types and validation rules, and assign default values.",Defines input arguments to a function.
Section 1,TTF,"The `arguments` block in a MATLAB function must be placed at the very beginning of the function definition, before any other code.",1,,"While it must be declared before any executable code, it isn't necessarily the *very* first thing if you have comments or function declarations first.",,,,,,,Correct placement is key,
Section 1,TMC,Consider the following MATLAB code snippet: `x = 1; while true if x > 5 break; end x = x + 1; end disp(x)`. What will be the output?,1,6,5,An infinite loop.,0,,,,,"The `while true` loop will continue indefinitely until the `if x > 5 break;` statement is executed. When `x` becomes 6, the loop will terminate and `disp(x)` will display 6.",Reaches break condition at 6.
Section 1,TMC,Consider the following MATLAB code: `x = 0; for i = 1:10 if i == 5 continue; end x = x + i; end disp(x)`. What will be the output?,2,50,50,45,55,,,,,"The loop sums the numbers 1 through 10, excluding 5, so the total is `1 + 2 + 3 + 4 + 6 + 7 + 8 + 9 + 10 = 50`.","Skip is 5, so the sum is 50."
Section 1,TMC,What is the purpose of the `global` keyword in MATLAB?,3,To declare a variable as a constant.,To declare a variable as a local variable.,To make a variable accessible from any function or script in the MATLAB session.,To make a variable accessible only within a specific function.,,,,,The `global` keyword declares a variable that can be accessed and modified from any function or script in the MATLAB session.,Global variable access
Section 1,TTF,The `input` function in MATLAB can only be used to prompt the user for numeric input.,,1,The `input` function can also be used to prompt the user for string input by specifying the `'s'` option.,,,,,,,Can be used for strings.,
Section 1,TMC,Consider the following MATLAB function: `function result = myFun(x) if x < 0 error('Input must be non-negative.'); end result = sqrt(x); end`. What happens if you call `myFun(-5)`?,2,The function returns NaN.,The function throws an error with the message 'Input must be non-negative.'.,The function returns 0.,The function enters an infinite loop.,,,,,"The `error` function is called when `x` is less than 0, so the function throws an error with the specified message.",Calls the error statement.
Section 1,TMC,Consider the following MATLAB code: `x = 5; y = 10; if x > 0 if y > 5 disp('A'); else disp('B'); end else disp('C'); end`. What will be displayed?,1,A,B,C,Nothing will be displayed.,,,,,"Since `x` is greater than 0 and `y` is greater than 5, the first `if` statement is true, and the second `if` statement is also true, so 'A' is displayed.",The conditions are met and A is displayed.
Section 1,TMC,What is the purpose of the `assert` function in MATLAB?,4,To display a warning message if a condition is false.,To pause execution of the script if a condition is false.,To display an error message if a condition is false.,To check if a condition is true and throw an error if it is false.,,,,,The `assert` function checks if a condition is true and throws an error if it is false.,Correct usage with functions.
Section 1,TTF,The `return` statement in MATLAB can be used to return multiple values from a function.,,1,"The `return` statement causes the function to exit, but the *values* returned are defined in the function declaration (e.g., `function [a,b] = myFun(...)`).",,,,,,,"Can cause functions to exit, but cannot be used to return values explicitly.",
Section 1,TMC,Consider the following MATLAB code snippet: `x = 5; try y = x / 0; catch ME disp(ME.message); end`. What will be displayed?,2,`Inf`,`Division by zero.`,`0`,An error will occur.,,,,,"The `try` block attempts to divide `x` by 0, which results in a division by zero error. The `catch` block catches the error object ME and displays its message.",Catches the error and displays the message.
Section 1,TMC,Consider the following MATLAB code: `x = 5; y = 10; if x > 0 && y < 5 disp('A'); elseif x > 0 || y < 5 disp('B'); else disp('C'); end`. What will be displayed?,2,A,B,C,Nothing will be displayed.,,,,,"Since `x > 0` is true and `y < 5` is false, the first `if` condition is false. However, the second `if` condition is true because `x > 0` is true, so `disp('B')` is executed.",The second conditional is met and runs.
Section 1,TMC,What is the purpose of the `narginchk` function in MATLAB?,4,To check if the number of input arguments is within a specified range.,To check if the data type of the input arguments is correct.,To check if the input arguments are valid file names.,To check if the input arguments are valid numbers.,,,,,The `narginchk` function is used to check if the number of input arguments is within a specified range and throws an error if it is not.,Function inputs checker
Section 1,TTF,The `arguments` block can include code to perform complex calculations and data processing.,,1,"The arguments block can include code to perform validation and assign default values, but it should not include code for complex calculations or data processing.",,,,,,,Shouldn't include complex computations.,
Section 1,TMC,Consider the following MATLAB code: `function y = myFun(x) persistent count; if isempty(count) count = 0; end count = count + 1; y = x + count; end`. You call the function `myFun(5)` three times in a row. What will be the output of the third call?,1,8,6,7,9,,,,,"The `persistent` variable `count` is initialized to 0 the first time the function is called. Then `count` will be incremented to 1, then 2, then 3 with three calls. The output of the third call will be `5+3=8`.",The third call will increment the variable to 3.
Section 1,TMC,Consider the following MATLAB code: `x = 5; function y = myFun(x) global x; x = x + 1; y = x; end; disp(myFun(x)); disp(x)`. What will be displayed in the MATLAB command window?,2,`6 5`,`6 6`,`5 6`,`5 5`,,,,,"The `global x` statement makes the variable `x` in the function refer to the global variable `x`. The function increments the global variable `x` to 6 and returns this value. Thus, both display statements show the final value of the global variable.",Global variable in use will update.
Section 1,TMC,What is the purpose of the `try-catch` block in MATLAB?,3,To display a warning message if an error occurs.,To pause execution of the script if an error occurs.,To handle errors and prevent the script from crashing.,To display the contents of the MATLAB workspace.,,,,,"The `try-catch` block allows you to catch errors, log them, and then continue execution, ensuring that the script doesn't halt unexpectedly.",Function will not stop on error.
Section 1,TTF,"The `nargout` function returns the number of *required* output arguments, while the `nargoutchk` function returns the total number of output arguments.",,1,`nargout` returns the number of *requested* output arguments. `nargoutchk` is for argument checking.,,,,,,,Both functions check output.,
Section 1,TMC,Consider the following MATLAB code: `function y = myFun(x) if x > 0 return; end y = x + 1; end`. What will be the value of `y` after calling `myFun(5)`?,4,6,5,An error will occur.,`y` will not be defined as the function returns before it is defined.,,,,,"The return occurs before the `y` is assigned, therefore, the value does not exist after the function is called.",Value of `y` will not be defined.
Section 1,TMC,Consider the following MATLAB code: `x = 0; if x > 0 && x < 10 disp('A'); elseif x == 0 || x > 5 disp('B'); else disp('C'); end`. What will be displayed?,2,A,B,C,Nothing will be displayed.,,,,,"Since `x > 0` is false, the first condition fails. The second condition, `x == 0 || x > 5` will succeed and display B.","Second condition met, so displays B."
Section 1,TMC,What is the purpose of the `inputParser` class in MATLAB?,1,To parse function inputs and validate them.,To create a graphical user interface.,To display help documentation.,To handle errors in code.,,,,,The `inputParser` class is used to parse inputs and validate data in those inputs.,Parses and validates the input data.
Section 1,TTF,The `inputname` function can be used to determine the name of the *output* variable to which a function's result is assigned.,,1,`inputname` is used to get the names of *input* variables. There is no direct way to get the name of the output variable.,,,,,,,Relates only to input variables.,
Section 1,TMC,Consider the following MATLAB code: `x = 5; y = @(a) x + a; x = 10; disp(y(5))`. What will be the output of the `disp` command?,3,15,10,10,An error will occur.,,,,,"This tests the nuance of closures. The anonymous function saves `x` during creation, so the changing of the value doesn't change the saved closure variable.","The closure has the variable saved, so 5+5."
Section 1,TMC,Consider the following MATLAB code: `x = 5; if x > 0 && x < 10 disp('A'); elseif x > 5 || x < 5 disp('B'); else disp('C'); end`. What will be displayed?,1,A,B,C,Nothing will be displayed.,,,,,"Since `x > 0 && x < 10` is true with both being true, the display prints A.",Prints the `A` output.
Section 1,TMC,What is the purpose of the `global` keyword in MATLAB?,2,"Makes a function always available, without needing to be in the path.",Makes a variable shareable among functions.,Makes an expression easier to read and follow.,It has no purpose in code.,,,,,"When the `global` keyword is used, code can now share the defined variables with any file.",The function inputs can vary.
Section 1,TTF,The `switch` statement in MATLAB can only be used with numeric values.,,1,The `switch` statement can also be used with character vectors and strings.,,,,,,,Versatile with multiple data formats.,
Section 1,TMC,Consider the following MATLAB code: `x = 5; y = 10; z = @() x + y; x = 15;`. What will be the value of `z()`?,1,15,25,An error will occur.,Unknown without running.,,,,,It tests the understanding of closures. The anonymous function stored the `x` and `y` such that they are not updated.,Test if closures are remembered.
Section 1,TMC,Consider the following MATLAB code: `x = 1; while x < 10 if x == 5 break; end x = x + 1; end disp(x)`. What will be displayed?,1,5,6,10,An infinite loop.,,,,,The x stops running when x is equal to 5.,The x terminates at 5.
Section 1,TMC,What is the primary difference between `nargin` and `nargout`?,3,`nargin` describes how many lines a code is while `nargout` dictates lines needed at least.,`nargin` is the function to catch errors with invalid calls while `nargout` is for correcting them.,`nargin` represents the number of inputs a user passes to a function while `nargout` is for the number of outputs a user requests when calling.,Both variables are unrelated.,,,,,`nargin` describes inputs while `nargout` describes outputs.,Inputs versus outputs.
Section 1,TTF,The `inputParser` class can only be used within function definitions.,1,,"The `inputParser` class can be used in scripts too, as long as there's a need to parse name-value pairs or validate inputs programmatically.",,,,,,,Can be used outside functions.,
Section 1,TMC,Consider this MATLAB code: `function output = myFun(x) switch class(x) case 'double' output = x * 2; case 'char' output = upper(x); otherwise output = NaN; end end`. What would `myFun(struct())` output?,3,Error.,Empty result.,,Undefined,,,,,"With a struct, the result will be NaN, according to the `otherwise` keyword.",Returns NaN.
Section 1,TMC,Consider the following MATLAB code: `x = 1; while x < 10 if x > 5 continue; end x = x + 1; end disp(x)`. What will be displayed after the code executes?,2,10,6,An infinite loop.,Error.,,,,,It creates an infinite loop. The x will always be less than 10 and greater than 5.,It goes on forever.
Section 1,TTF,A function defined in a MATLAB script file can be called from any other script or function in the same directory.,,1,"In MATLAB, functions defined in a script file are only accessible within that script, functions need to be in separate files.",,,,,,,Functions must be in a separate file for access.,
Section 1,TMC,"Consider this MATLAB code: `function y = myFun(x) switch x case {1, 2, 3} y = 'Low'; case {4, 5, 6} y = 'Medium'; otherwise y = 'High'; end end`. What does `myFun(4)` output?",2,Low,Medium,High,Undefined,,,,,"Since cases can be used as multiple, `4` will return `Medium`.",It's a medium.
Section 1,TMC,Consider the following MATLAB code: `x = 5; y = 10; if x > 0 && y < 5 disp('A'); elseif x > 5 || y > 5 disp('B'); else disp('C'); end`. What will be displayed?,2,A,B,C,Nothing will be displayed.,,,,,"Since `y` is greater than 5, the expression will run condition B.",`y` exceeds its threshold to print.
Section 1,TTF,All functions must have an `end` statement in MATLAB.,,1,Functions do not require an `end` statement.,,,,,,,It's not a requirement.,
Section 1,TMC,Consider this MATLAB code: `function y = myFun(x) switch x case 1:3 y = 'Low'; case 4:6 y = 'Medium'; otherwise y = 'High'; end end`. What does `myFun([1 2 3])` output?,3,Low,Medium,High,Undefined,,,,,"The function cannot handle vector input, thus the `otherwise` code will be used and set the value to `High`.",Doesn't perform as expected and goes to otherwise.
Section 1,TMC,Consider the following MATLAB code: `x = 5; if x > 0 && x < 10 disp('A'); elseif x > 5 && x < 10 disp('B'); else disp('C'); end`. What will be displayed?,1,A,B,C,Nothing will be displayed.,,,,,The only code that works in that setup is to print the A command.,Only code that's available.
Section 1,TTF,It's considered good practice to use long nested if/elseif/else code structures.,,1,"The more organized, less nested code will have better readability for the other users that will iterate on top of the work.",,,,,,,Good for code quality.,
Section 1,TMC,"What is the output of the following MATLAB code: A = [1, 2; 3, 4]; B = A(1,:); B(1) = 10; A?",3,"[10, 2; 3, 4]","[1, 2; 3, 4]","[10, 4]","[1, 10]",,,,,The first element of B modifies A's first row due to reference passing.,"Incorrect. B is a copy of the row, changing B does not affect A."
Section 1,TMCMA,Which of the following statements about MATLAB functions is TRUE?,"1, 3",Functions can have variable number of input arguments.,Functions must return at least one output.,Functions can be nested within other functions.,Functions cannot access variables from the base workspace.,Functions can only return one output.,Functions must be defined in separate files.,,,"Functions can accept variable inputs, which is a powerful feature.",Incorrect. Functions can return multiple outputs and access base workspace variables if declared appropriately.
Section 1,TMCMA,Which of the following statements about control flow in MATLAB is correct?,"1, 2",'if' statements can be nested.,'for' loops can iterate over arrays.,'while' loops cannot be used with conditions.,'switch' statements are only for numerical comparisons.,'try-catch' blocks are used for error handling.,,,"'if' statements can indeed be nested, and 'for' loops can iterate over arrays efficiently.","Incorrect. 'while' loops can be used with conditions, and 'switch' statements are versatile.",
