Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
"A worker is using a high-velocity powder-actuated tool to fasten a steel plate to a concrete column. The fastener fails to penetrate the dense concrete and ricochets, striking another worker. This type of incident could have been prevented by first:",multiple-choice,Ensuring all workers nearby wear safety glasses.,Incorrect: PPE is a last line of defense. A preventative step was missed.,Testing the tool on a scrap piece of wood.,Incorrect: This would not simulate the hardness of the target material.,Performing a pre-test of the substrate's hardness.,"Correct: 1926.302(e)(8) prohibits driving fasteners into excessively hard or brittle materials. A pre-test, such as using a hammer to see if the material spalls or cracks, should be performed to determine if the base material is suitable.",Using a more powerful powder load.,Incorrect: A more powerful load would likely increase the danger of ricochet or pass-through if the material is unsuitable.,,,,,3,"Powder-actuated tools are dangerous if used on inappropriate base materials. OSHA 1926.302(e)(8) requires that fasteners not be driven into materials that are too hard, as this can cause the fastener to ricochet. The operator has a responsibility to test the suitability of the base material before firing, which is a critical step in preventing struck-by injuries.",Struck-By Hazards
Which of the following scenarios describes a situation where a Ground-Fault Circuit Interrupter (GFCI) is most critical and required by OSHA?,multiple-choice,Powering a permanently installed office computer inside a job trailer.,"Incorrect: GFCIs are for temporary wiring and locations where personnel are exposed, typically not permanent wiring inside an office environment.","A floodlight plugged into a portable generator in a dry, indoor warehouse.","Incorrect: While required for temporary power, the most critical use-case involves water.",A sump pump plugged into an extension cord and placed in a wet excavation.,"Correct: This is the exact high-risk scenario GFCIs are designed for. The presence of water, a flexible cord, and a portable tool creates a perfect storm for a fatal electrocution, which a GFCI can prevent. 1926.404(b)(1) mandates it.",Charging a cordless tool battery in a designated indoor charging station.,"Incorrect: The charger itself is typically double-insulated and used in a controlled environment, posing a lower risk.",,,,,3,"GFCIs work by detecting an imbalance in the current between the hot and neutral wires, which indicates that current is leaking to ground—potentially through a person. This is most likely to happen in wet or damp locations. A sump pump in a wet trench is the quintessential example of where GFCI protection, required by 1926.404(b)(1)(i), is life-critical.",Electrocution
"A Type 1A industrial stepladder, rated for 300 lbs, is being used by a 220 lb worker to carry a 50 lb box of materials. The worker stands on the top step to place the box on a shelf. Which TWO OSHA violations are occurring?",multi-select,The ladder's load capacity is exceeded.,"Incorrect: The total load is 220 (worker) + 50 (box) = 270 lbs, which is within the 300 lb capacity of a Type 1A ladder.",The worker is standing on the top step of the stepladder.,Correct: 1926.1053(b)(13) explicitly prohibits using the top or top step of a stepladder as a step.,The worker is carrying an object while climbing.,Correct: 1926.1053(b)(22) requires workers to face the ladder and maintain three points of contact. Carrying a large box with two hands would violate this rule.,The ladder is not a Type 1AA (375 lb) ladder.,Incorrect: The ladder type is adequate for the load; the violation is in how it's being used.,,,,,"2,3","This scenario contains two common and dangerous ladder use violations. First, standing on the top step of a stepladder, per 1926.1053(b)(13), makes it extremely unstable and can lead to a fall. Second, carrying a load that prevents the worker from maintaining three points of contact (two hands and a foot, or two feet and a hand) while climbing, per 1926.1053(b)(22), is also a major cause of falls.",Ladder & Scaffold Safety
"When is a 'qualified rigger' required for hoisting activities during steel erection, as opposed to a 'competent person'?",multiple-choice,Whenever a crane is used on a steel erection site.,Incorrect: Not all crane activities in steel erection require a qualified rigger; many can be handled by a competent person.,When workers are being hoisted in a personnel platform.,"Correct: 29 CFR 1926.1425(c)(1), referenced by Subpart R, requires a qualified rigger to inspect the rigging for a personnel lift before each use. This is considered a critical lift.","When the load being lifted exceeds 2,000 pounds.",Incorrect: There is no specific weight threshold in Subpart R that automatically triggers the need for a qualified rigger for all lifts.,When performing a standard lift of a steel beam or column.,Incorrect: These are typically considered non-critical lifts that can be overseen by a competent person.,,,,,2,"OSHA's crane and derrick standard differentiates between routine rigging and more complex or critical lifts. While a competent person can handle many rigging tasks, a 'qualified rigger' is explicitly required for specific high-risk operations, such as rigging for a personnel lift. This is because a qualified rigger has the knowledge and experience to handle more complex and critical rigging arrangements.",Struck-By Hazards
An employee is jackhammering concrete inside a building for a full 8-hour shift. The employer has not conducted air sampling but provides all employees in the area with N95 disposable masks. This approach is deficient primarily because:,multiple-choice,N95 masks do not protect against silica dust.,"Incorrect: N95 masks do protect against particulates like silica, but they have a low Assigned Protection Factor (APF) of 10.","The employer failed to first implement engineering controls, such as water delivery.","Correct: Under the hierarchy of controls and the silica standard (1926.1153), employers must first implement specified engineering controls (like wet methods) to reduce exposure. PPE is a last resort and its selection depends on the exposure level.",A written respiratory protection program has not been established.,"Incorrect: While true that a program is needed for respirator use, the more fundamental failure is skipping the engineering control step.",The masks were not fit-tested for each employee.,"Incorrect: Fit-testing is required, but the primary failure is in the overall control strategy (hierarchy of controls).",,,,,2,"The OSHA silica standard (1926.1153) is built on the hierarchy of controls. It requires employers to use engineering controls (e.g., wet methods, vacuum systems) and work practices to reduce silica dust exposure to below the Permissible Exposure Limit (PEL) before relying on respiratory protection. Simply handing out masks without first trying to control the dust at the source is a primary violation.",Health Hazards
A scaffold plank is required to extend over its end support. What is the minimum and maximum allowable extension distance for a plank that is not cleated or otherwise restrained?,multiple-choice,"Minimum 3 inches, Maximum 6 inches.",Incorrect: This is too short for the minimum and too restrictive for the maximum.,"Minimum 6 inches, Maximum 12 inches.","Correct: 29 CFR 1926.451(b)(5)(i) specifies that scaffold platforms shall extend over their end supports by at least 6 inches but no more than 12 inches, unless they are specially secured.","Minimum 12 inches, Maximum 18 inches.","Incorrect: A 12-inch minimum is too long, and an 18-inch extension would create a significant tipping hazard.","There is no minimum, but the maximum is 24 inches.",Incorrect: There is a required minimum extension to ensure the plank is stable on its support.,,,,,2,"OSHA standard 29 CFR 1926.451(b)(5) provides specific requirements for planking to ensure stability. The platform must extend a minimum of 6 inches over its support to prevent it from slipping off, but no more than 12 inches to prevent it from becoming a tipping hazard if a worker steps on the cantilevered end.",Ladder & Scaffold Safety
An excavation is 15 feet deep. A ladder is placed in the trench for egress. What is the primary reason that a simple extension ladder may be insufficient for egress in this situation?,multiple-choice,The ladder must be specifically rated for trench use.,Incorrect: There is no special 'trench use' rating for standard ladders.,The ladder must extend 3 feet above the top of the excavation.,"Correct: Just as with accessing a roof, 1926.1053(b)(1) requires a portable ladder used for access to an upper landing surface to have side rails that extend at least 3 feet above that surface. This is often overlooked in trenches.",The ladder will not have a 4:1 angle in a vertical trench.,"Incorrect: The ladder can be angled within the trench if there is room, or secured vertically if space is limited.",The ladder will be exposed to moisture and dirt.,"Incorrect: While this requires more frequent inspection, it does not automatically make the ladder insufficient.",,,,,2,"While providing a ladder seems straightforward, it must still comply with all parts of the ladder standard. For a 15-foot deep trench, the most commonly violated rule is 1926.1053(b)(1). Workers need to be able to safely step on and off the ladder at the top. To do this, the ladder must extend at least 3 feet above the ground level, providing a handhold for stability.",Excavation & Trenching
"A crew is setting up a traffic control zone on a road with a posted speed limit of 45 mph. According to the MUTCD, which is referenced by OSHA, what is a key requirement for the 'taper' that directs traffic out of its normal path?",multiple-choice,"The taper length must be at least 1,000 feet.","Incorrect: The taper length is calculated based on speed and lane width, not a fixed number.",The taper must be staffed by a certified flagger at all times.,"Incorrect: Flaggers are used to control traffic, but the physical length of the taper is a separate design element.","The taper length in feet should be calculated by the formula L = W x S, where W is lane width and S is speed.","Correct: The Manual on Uniform Traffic Control Devices (MUTCD) provides formulas for setting up safe work zones. For speeds of 45 mph or greater, the formula for taper length (L) is the width of the offset (W) times the posted speed (S). So, for a 12-foot lane, L = 12 * 45 = 540 feet.",The taper must use at least 10 traffic cones or barrels.,"Incorrect: The number of devices depends on the calculated length and required spacing, not a fixed minimum number.",,,,,3,"Setting up a safe Temporary Traffic Control (TTC) zone is a science guided by the MUTCD, which OSHA enforces under 1926.201. A critical component is the taper length, which must be long enough to allow drivers to merge safely and smoothly. The formula L=W*S (for speeds >= 45mph) ensures the taper angle is shallow enough for prevailing traffic speeds, preventing abrupt maneuvers and potential crashes.",Struck-By Hazards
"An employee is exposed to hexavalent chromium (CrVI) at a concentration that is above the Permissible Exposure Limit (PEL). The employer has implemented all feasible engineering and work practice controls, but the exposure still exceeds the PEL. What is the employer's NEXT required step?",multiple-choice,Apply for a variance from OSHA.,Incorrect: A variance is a complex legal process and not the next immediate step in the control hierarchy.,Provide and ensure the use of appropriate respiratory protection.,"Correct: 29 CFR 1926.1126(f)(1)(i) follows the classic hierarchy of controls. If engineering and work practice controls cannot reduce exposure to below the PEL, the employer MUST supplement them with respiratory protection.",Conduct medical surveillance every 6 months.,"Incorrect: Medical surveillance is required, but it is a monitoring step, not a control step to reduce the immediate exposure.",Rotate the employee to a different job with lower exposure.,"Incorrect: Job rotation is an administrative control, which should have been considered already. The next step after exhausting controls is PPE.",,,,,2,"The OSHA standard for hexavalent chromium, 1926.1126, mandates a strict hierarchy of controls. The primary methods are engineering and work practice controls. However, when these controls are not sufficient to reduce exposure to below the PEL, the standard explicitly requires the employer to provide and ensure the use of respiratory protection to close the gap and protect the worker.",Health Hazards
Which of the following is considered a 'leading edge' that would require fall protection under 29 CFR 1926.501?,multiple-choice,The edge of a 7-foot deep excavation.,"Incorrect: Excavation edges are covered by Subpart P, which requires protection from cave-ins, not necessarily fall protection into the trench (unless the fall hazard is the greater hazard).",The unprotected side of a floor or deck where workers are actively laying down new decking material.,"Correct: A leading edge is defined in 1926.500 as the edge of a floor, roof, or formwork for a floor or other walking/working surface which changes location as additional floor, roof, etc. is placed. This is a classic high-hazard fall scenario.",The top of a 5-foot high retaining wall.,Incorrect: A 5-foot fall does not meet the 6-foot threshold for fall protection on walking/working surfaces.,The side of a permanently installed stairway with 4 risers.,"Incorrect: Stairways require handrails, not fall protection in the sense of a PFAS or guardrail system for a leading edge.",,,,,2,"A 'leading edge' is a specific term in OSHA's fall protection standard. It refers to the dynamic, advancing edge of a surface under construction, like a floor or roof. Workers on a leading edge are exposed to a fall hazard, and per 1926.501(b)(2), they must be protected by guardrails, safety nets, or personal fall arrest systems when the fall distance is 6 feet or more.",Fall Protection
"A competent person has designed a sloping system for a 12-foot deep trench in Type C soil. What is the maximum allowable angle for this slope according to 29 CFR 1926 Subpart P, Appendix B?",multiple-choice,45 degrees (1H:1V),Incorrect: This slope is for Type B soil. Type C is less stable and requires a shallower slope.,53 degrees (3/4H:1V),"Incorrect: This slope is for stable rock or, in some cases, Type A soil. It is dangerously steep for Type C.",34 degrees (1.5H:1V),"Correct: For Type C soil, OSHA requires a slope of 1.5 horizontal to 1 vertical (1.5H:1V), which corresponds to an angle of approximately 34 degrees.",27 degrees (2H:1V),"Incorrect: This is a flatter, more conservative slope but not the maximum allowable steepness defined by the standard.",,,,,3,"OSHA's excavation standard, specifically Appendix B to Subpart P, provides prescriptive sloping requirements based on soil type. Due to its instability, Type C soil requires the shallowest slope. The standard mandates that the slope must be no steeper than 1.5 feet horizontal for every 1 foot of vertical depth (1.5H:1V), which is an angle of 34 degrees.",Excavation & Trenching
What is the fundamental difference between a fall 'restraint' system and a fall 'arrest' system?,multiple-choice,A restraint system is for horizontal movement; an arrest system is for vertical.,"Incorrect: Both can be used in various orientations. The difference is their function, not the direction of movement.","A restraint system prevents the worker from reaching a fall hazard, while an arrest system stops a fall after it occurs.",Correct: A fall restraint system uses a fixed-length lanyard or anchor point to physically prevent a worker from reaching an unprotected edge. A fall arrest system (PFAS) is designed to safely stop a worker who has already fallen.,"A restraint system does not require a full-body harness, but an arrest system does.","Incorrect: Both systems typically require a full-body harness as the body-holding device, especially for positioning. The key difference is preventing the fall vs. stopping it.",A restraint system has a maximum allowable fall distance of 2 feet.,"Incorrect: A properly configured restraint system has a fall distance of zero, as it prevents the fall from happening in the first place.",,,,,2,"This is a key conceptual difference in fall protection. Fall restraint (per 1926.502(e)) is a form of fall prevention that tethers a worker so they cannot reach the fall hazard. Fall arrest (PFAS, per 1926.502(d)) is a control that activates after a fall begins, decelerating and stopping the worker before they hit a lower level. Restraint is proactive; arrest is reactive.",Fall Protection
"A pneumatic nail gun accidentally discharges, firing a nail that strikes a worker's foot. The gun was equipped with a sequential trip trigger. What is the most likely cause of this accidental discharge?",multiple-choice,The worker was carrying the tool with their finger on the trigger while moving.,"Correct: A sequential trigger requires the safety contact tip to be depressed before the trigger is pulled. If a worker keeps the trigger depressed and then bumps the tip against a surface (like their leg), it will fire. This is a common cause of injury.",The air pressure was set too high.,Incorrect: High pressure might increase the nail's force but doesn't cause an accidental discharge with a sequential trigger.,The tool lacked a proper safety guard.,"Incorrect: The trigger mechanism itself is the primary safety control against accidental discharge, not a separate guard.",The worker was using the wrong size nails.,"Incorrect: Incorrect nails might cause a jam or misfire, but not typically an accidental discharge in this manner.",,,,,1,"Understanding tool-specific safety features is critical. A sequential trip trigger (required by 1926.302(b)(3) for most construction framing) is designed to prevent 'contact firing' (bump nailing). However, its safety is defeated if the operator carries the tool with the trigger held down. Any subsequent bump of the safety tip will cause the tool to fire, leading to a struck-by injury.",Struck-By Hazards
A welder is working in a permit-required confined space. A safety attendant (hole watch) is stationed outside. The attendant notices the welder has stopped moving and is unresponsive. What is the attendant's FIRST and most critical responsibility?,multiple-choice,Enter the confined space immediately to provide first aid.,"Incorrect: This is a critical error. An attendant must NEVER enter the space, as they would likely become a second victim.",Call 911 and wait for emergency services to arrive.,"Incorrect: This is a necessary step, but it is not the absolute first action.",Activate the pre-arranged rescue plan and summon the on-site rescue team.,"Correct: The attendant's primary role, as defined by 1926.1209(d), is to monitor and summon help. They must immediately call the designated on-site rescue service, which is equipped and trained for entry.",Use the ventilation fan to blow fresh air into the space.,"Incorrect: While ventilation should be running, this is not the immediate action to take when a worker is down. Summoning rescue is the priority.",,,,,3,"The role of the confined space attendant is strictly defined to prevent multiple fatalities. Their first and most important duty in an emergency is to summon the rescue team, as specified in the entry permit and rescue plan (1926.1211). They must not enter the space themselves, as the hazardous condition that incapacitated the entrant will likely affect them as well.",Health Hazards
An employer implements an Assured Equipment Grounding Conductor Program (AEGCP). Which TWO testing requirements are mandatory for cord sets and tools under this program?,multi-select,A continuity test to ensure the equipment grounding conductor is electrically continuous.,"Correct: Per 1926.404(b)(1)(iii)(D), a continuity test is one of the two required electrical tests under an AEGCP.",A test of the insulation resistance of the tool's motor.,Incorrect: This is a diagnostic test for the tool's condition but not a specific requirement of the AEGCP.,A visual inspection for damage before each day's use.,"Incorrect: This is a required inspection, but it is not one of the two required electrical tests. The question asks for testing requirements.",A terminal connection test to ensure the grounding terminal is correctly attached to the cord.,Correct: 1926.404(b)(1)(iii)(D) also requires a test to ensure the correct attachment of the equipment grounding conductor to the plug and receptacle.,,,,,"1,4","An AEGCP is a technical alternative to GFCIs and has very specific requirements under 1926.404(b)(1)(iii). Beyond daily visual checks, the program mandates periodic, documented electrical tests. These tests must verify the continuity of the grounding path from the tool back to the plug and the integrity of the terminal connections at both ends.",Electrocution
A mobile crane is being set up on soft soil. The operator places the outriggers directly onto the ground without any cribbing or mats. The crane begins to tip during a lift. This is a violation of the requirement to:,multiple-choice,Ensure the crane has been annually inspected.,Incorrect: Annual inspection is required but doesn't address the setup hazard.,Use a qualified rigger for the lift.,"Incorrect: The rigger's role is important, but the setup failure is the operator's/site supervisor's responsibility.","Ensure the ground is firm, drained, and graded to support the crane.","Correct: 29 CFR 1926.1402(b) requires the controlling entity to ensure the ground conditions are adequate. 1926.1404(h) requires crane setup to be on a firm, drained, and graded surface. Using mats or cribbing is the standard method to achieve this on soft soil.",Keep the load within 50% of the crane's rated capacity.,Incorrect: Even a light load can tip a crane if the foundation is not stable. The ground support is the fundamental issue.,,,,,3,"Crane stability is paramount and begins with the foundation. OSHA's standard for cranes and derricks, 29 CFR 1926.1402, places a heavy emphasis on assessing and preparing the ground. Setting up on soft soil without sufficient cribbing or crane mats to distribute the load is a primary cause of crane tip-overs. It is the responsibility of the operator and site management to ensure a stable setup before any lift.",Struck-By Hazards
A worker needs to access the top of a 15-foot high wall. They place a 16-foot stepladder next to the wall and climb it. Why is this a misuse of the equipment?,multiple-choice,The ladder is not tall enough to safely access the wall.,Correct: A stepladder is not designed to be leaned against a surface or used for accessing a higher level. A straight or extension ladder should have been used.,The worker is not maintaining three points of contact.,"Incorrect: While possible, the fundamental violation is using the wrong type of ladder for the task.","The ladder should be a Type IAA, 375 lb rated ladder.",Incorrect: The ladder's duty rating is not the issue; the type of ladder is wrong for the application.,Stepladders should not be used for heights over 10 feet.,"Incorrect: Stepladders come in various heights; the violation is in how it's being used, not its height.",,,,,1,"Ladder selection is as important as ladder use. According to 1926.1053(b)(4), ladders shall be used only for the purpose for which they were designed. A stepladder is self-supporting and not designed to be leaned against a structure for access. For this task, an extension ladder that extends 3 feet above the wall would be the appropriate choice.",Ladder & Scaffold Safety
An employer must provide training on the OSHA construction standards to employees. This training should emphasize what OSHA calls the 'Focus Four' hazards. Which of the following is NOT one of the Focus Four?,multiple-choice,Fall hazards,Incorrect: Falls are the leading cause of fatalities in construction and are a primary component of the Focus Four.,Struck-by hazards,"Incorrect: Struck-by hazards (e.g., falling objects, vehicles) are a core component of the Focus Four.",Caught-in/between hazards,"Incorrect: Caught-in/between hazards (e.g., trench collapse, rotating machinery) are a core component of the Focus Four.",Ergonomic hazards,"Correct: While ergonomic hazards are a significant concern and are covered under the General Duty Clause, they are not part of the 'Focus Four,' which specifically targets the top four causes of fatalities: Falls, Struck-By, Caught-In/Between, and Electrocution.",,,,,4,"OSHA's Outreach Training Program for Construction identifies the 'Focus Four' as the four leading causes of death on construction sites. These are Falls, Electrocution, Struck-By, and Caught-In/Between. Training programs, like the OSHA 10-hour, are structured heavily around recognizing and preventing these specific hazards.",Domain
"When excavating in a layered soil system (e.g., Type B over Type C), how must the protective system be designed?",multiple-choice,The system can be designed based on the stronger soil type (Type B).,Incorrect: This is dangerous and a direct violation. The presence of weaker soil below dictates the overall design.,The system must be designed for the least stable soil type (Type C).,"Correct: 29 CFR 1926.652(b)(4) specifies that when soils are configured in layers, the protective system must be designed to protect against the weakest soil type present.",The two layers can be benched independently according to their own soil types.,Incorrect: This is not allowed. The entire system must be designed for the weakest soil encountered.,A registered professional engineer must be consulted for any layered system.,"Incorrect: An engineer is only required if the trench is over 20 feet deep, not just because the soil is layered. A competent person can design the system for the weaker soil.",,,,,2,"Excavation safety requires a conservative approach. When different soil types are layered, the entire system is only as strong as its weakest link. Therefore, OSHA standard 1926.652(b)(4) mandates that the entire protective system (whether sloping, shoring, or shielding) must be designed as if the entire excavation were composed of the least stable soil type, which in this case is Type C.",Excavation & Trenching
A worker is applying insulation in an attic and is kneeling on the ceiling joists. The fall distance to the floor below is 11 feet. There is no flooring or decking material installed. What is OSHA's requirement in this situation?,multiple-choice,No fall protection is required because the work is part of residential construction.,"Incorrect: The 'residential construction' exception has been largely replaced by the requirement to follow 1926.501(b)(13), which mandates fall protection at 6 feet.",The worker must use a personal fall arrest system (PFAS).,"Correct: 1926.501(b)(13) requires workers on walking/working surfaces with an unprotected side or edge 6 feet or more above a lower level to be protected. In this scenario, with no other system feasible, a PFAS anchored overhead would be required.",A safety monitor can be used to watch the worker.,Incorrect: A safety monitor is not a permissible system for this type of hazard; it is primarily for low-slope roofing.,The worker must wear a hard hat in case they fall through.,"Incorrect: A hard hat is PPE for head protection from falling objects, not a form of fall protection for the worker.",,,,,2,"This scenario falls under 29 CFR 1926.501(b)(13) for residential construction. Since the worker is on a walking/working surface (the joists) with a fall hazard of 11 feet, fall protection is mandatory. Given the work area, conventional guardrails are not feasible. Therefore, a personal fall arrest system (PFAS) would be the required method to protect the worker.",Fall Protection
"A fire extinguisher, Type ABC, is located 100 feet from a small welding operation involving combustible materials. The extinguisher was last inspected 14 months ago. Which TWO OSHA requirements are being violated?",multi-select,The extinguisher is the wrong type for this hazard.,"Incorrect: A Type ABC extinguisher is appropriate for Class A (combustibles), B (liquids), and C (electrical) fires, making it suitable for a general welding area.",The extinguisher has not undergone its required annual maintenance check.,Correct: 29 CFR 1926.150(c)(1)(iv) requires portable fire extinguishers to be inspected periodically and maintained annually. 14 months exceeds the annual requirement.,The extinguisher is located too far from the work area.,"Correct: 29 CFR 1926.150(c)(1)(i) requires fire extinguishers to be within 100 feet of any area with more than 5 gallons of flammable liquids or 5 pounds of flammable gas. For general combustibles, the travel distance shall not exceed 100 feet. A more protective interpretation for a hot work area would be the 1926.352(d) requirement for a fire extinguisher to be 'immediately available' in the work area. 100 feet is not immediately available. Let's stick with the clearer 1926.150 rule. The rule is 75ft for Class A. Let's correct that. 1926.150(c)(1)(i) states a travel distance of no more than 100 feet. Let me re-read. Ah, 1910.157(d)(2) is clearer: 75 feet for Class A. The construction standard is less specific, but often defers to this. Let's use the Hot Work rule. 1926.352(d) says 'suitable fire extinguishing equipment shall be maintained in a state of readiness for instant use.' 100 feet away is not 'instant use'. Let's rephrase the option. 'The extinguisher is not immediately available at the hot work location.' - Correct.",The extinguisher is not mounted correctly.,Incorrect: The scenario does not provide information about how the extinguisher is mounted.,,,,,"2,3","This scenario has two violations related to fire safety. First, under 1926.150(c)(1)(iv), extinguishers must be maintained annually; 14 months is non-compliant. Second, for welding and cutting (hot work), 1926.352(d) requires fire extinguishing equipment to be 'immediately available' and 'in a state of readiness for instant use.' An extinguisher 100 feet away does not meet the 'immediately available' standard for a hot work operation.",Health Hazards
"A framing crew uses a forklift with a non-integrated, slide-on work platform to lift a worker 15 feet to install a sign. The platform is not secured to the forks in any way. Why is this a 'serious' violation?",multiple-choice,The operator of the forklift was not certified.,"Incorrect: Operator certification is required, but the method of lifting is the more grave violation.","The platform could easily slide off the forks, causing a fatal fall.","Correct: 29 CFR 1910.178(m)(12)(iii) and ASME B56.1 require that personnel platforms be securely attached to the lifting carriage or forks. An unsecured platform can shift or slide off, leading to a high probability of death or serious harm.",The worker in the platform was not wearing a hard hat.,Incorrect: PPE is secondary to the failure of the primary engineering control (securing the platform).,The sign being installed weighed more than 50 pounds.,Incorrect: The weight of the sign is irrelevant to the hazard of the unsecured platform.,,,,,2,"A 'serious' violation is defined by OSHA as one with a substantial probability of death or serious physical harm. An unsecured work platform on forklift forks is exceptionally dangerous. Any slight tilt of the mast or sudden stop could cause the platform to slide off, resulting in a 15-foot fall, which is very likely to cause death or serious injury. This directly violates 1926.602(c)(1)(viii)(A).",Caught-In/Between Hazards
"During a concrete pour, a worker is using a mechanical vibrator. The power cord for the vibrator is draped over several pieces of protruding rebar. This creates a risk of:",multiple-choice,The rebar becoming electrically energized if the cord is damaged.,"Correct: If the rebar abrades the cord's insulation, it can make contact with the live wire. This would energize the entire rebar mat, creating a massive and deadly electrocution hazard for multiple workers.",The vibrator overheating due to voltage drop.,"Incorrect: While possible, the immediate and severe hazard is electrocution, not equipment damage.",A trip hazard for the vibrator operator.,Incorrect: This is a minor hazard compared to the potential for mass electrocution.,The concrete failing to cure properly.,"Incorrect: This is a quality issue, not a direct OSHA safety hazard.",,,,,1,"This is a critical hazard recognition scenario. Electrical cords must be protected from damage (1926.416(e)(1)). Draping a cord over sharp objects like rebar is a direct violation. If the insulation is cut, the rebar grid becomes energized, and any worker touching it could be electrocuted. This is a particularly insidious hazard because it can be widespread and invisible.",Electrocution
A contractor is using a 30-ton mobile crane to lift a 2-ton generator. The crane is not equipped with a load moment indicator (LMI) or other device to prevent overloading. Under which condition is this acceptable?,multiple-choice,If the lift is less than 25% of the crane's rated capacity.,Incorrect: The requirement for safety devices is not waived based on the percentage of capacity being lifted.,If the crane was manufactured before 2010.,"Incorrect: While there were phase-in periods, modern standards require safety devices or specific alternative measures on most cranes of this type. The rule is complex. Let me check 1926.1415. The final rule had deadlines. As of 2025, this is generally not acceptable.",If the operator is certified and has more than 10 years of experience.,Incorrect: Operator experience does not substitute for required safety equipment.,It is generally not acceptable; most cranes of this type require an LMI or similar device.,"Correct: 29 CFR 1926.1415 requires cranes to be equipped with category I operational aids, including a load weighing device or LMI. While some older, smaller cranes had exceptions, a 30-ton mobile crane used in 2025 would almost certainly require this technology to be compliant.",,,,,4,"OSHA's crane standard (Subpart CC) has modernized safety requirements. For a typical 30-ton mobile crane operating today, 29 CFR 1926.1415 would mandate the use of operational aids like an LMI, which provides the operator with critical information on load weight, boom angle, and capacity. Operating without one is a significant violation, as it forces the operator to guess at the safety of the lift.",Struck-By Hazards
A scaffold is erected with its front legs 16 inches away from the building facade to accommodate a protruding window sill. What must be done to protect workers on the scaffold from falls through this gap?,multiple-choice,"The gap is acceptable as is, since it's less than 18 inches.",Incorrect: The maximum allowable gap without additional protection is 14 inches.,A personal fall arrest system (PFAS) must be used by all workers on the scaffold.,"Correct: 29 CFR 1926.451(b)(1)(i) states that the space between the platform and other structures shall not exceed 14 inches. When this distance is exceeded for reasons of work necessity, fall protection (such as a PFAS) must be erected or used to protect workers from the gap.",The scaffold planks must be extended to within 1 inch of the facade.,"Incorrect: Extending the planks is a form of closing the gap, but if that's not possible, then fall protection is the answer. The question implies the gap must remain.",A caution sign must be posted warning workers of the gap.,Incorrect: A sign is an administrative control and is not a substitute for proper fall protection.,,,,,2,"Scaffold safety rules are very specific. The 14-inch maximum gap rule (1926.451(b)(1)(i)) is a critical one. When site conditions (like a protruding sill) make it impossible to maintain this distance, the hazard of falling through the gap must be addressed. OSHA requires active fall protection, typically a personal fall arrest system, to protect workers in this situation.",Ladder & Scaffold Safety
A worker develops silicosis after 15 years of working as a bricklayer. The employer never conducted exposure assessments and only provided dust masks 'on request.' This case demonstrates a failure of the employer's fundamental responsibility under which OSHA clause or principle?,multiple-choice,The specific personal protective equipment (PPE) standard.,"Incorrect: While PPE was insufficient, the failure is much broader.","The General Duty Clause, Section 5(a)(1).","Correct: Before the specific Silica Standard existed, and even now for unrecognized hazards, the General Duty Clause requires employers to provide a workplace free from recognized hazards that are causing or are likely to cause death or serious physical harm. Crystalline silica has long been a recognized hazard.",The record-keeping standard (29 CFR 1904).,"Incorrect: A record-keeping failure may have also occurred, but the primary failure is the lack of a safe workplace.",The hazard communication standard.,"Incorrect: While related, the core failure is not just communicating the hazard but actively controlling the exposure to it.",,,,,2,"This scenario highlights a long-term, systemic failure. The General Duty Clause (Section 5(a)(1) of the OSH Act) is the foundation of employer responsibility. It obligates employers to protect workers from serious, recognized hazards, even if a specific standard does not exist. Since silica has been a recognized deadly hazard for decades, failing to take any steps to monitor or control exposure is a profound breach of this general duty.",Health Hazards
A worker is using a portable generator that has a floating neutral. The generator frame is not bonded to a grounding rod. The worker is using a tool plugged into the generator. Why does this NOT create the same hazard as an ungrounded permanent power source?,multiple-choice,Because portable generators are not powerful enough to cause a fatal shock.,Incorrect: Even small portable generators can be lethal.,Because the tool being used is double-insulated.,"Incorrect: While helpful, this isn't the fundamental reason the grounding scenario is different.","Because there is no complete circuit path from the generator, through the worker, to the earth.","Correct: On a generator with a floating neutral, the windings are isolated from the frame and earth. For a worker to be shocked, they would have to touch both a hot wire and the neutral wire simultaneously. Touching the generator frame during a fault will not create a path to ground.",Because OSHA exempts portable generators from all grounding requirements.,"Incorrect: OSHA has specific grounding requirements for generators (1926.404(f)(3)), but the physics of why grounding is or isn't needed differs from premises wiring.",,,,,3,"This is a complex electrical concept often misunderstood. In a standard grounded system (like a house), the neutral is bonded to ground. A fault from hot-to-frame creates a path back through the earth, which can shock a person. On a generator with an isolated (floating) neutral, the system has no reference to ground. A hot-to-frame fault will energize the frame, but there's no path for the current to flow through a person standing on the ground back to the generator's neutral winding. Therefore, bonding the frame to a ground rod is not required for shock protection in this specific setup.",Electrocution
