item,category,status,qty,estUsd,currentSupplier,existingRef,action,recommendedSupplier,contact,note
"Bluetooth Earbuds with Case","Électronique wholesale","sourced","10","70","Wholesale supplier","","PLACE ORDER","Alfa Gros / JemlaMaroc","0630000011","direct Moroccan electronics wholesale — use sourcing-agent only if no direct channel"
"Wireless Mouse (basic)","Électronique wholesale","sourced","10","50","Wholesale supplier","","PLACE ORDER","Alfa Gros / JemlaMaroc","0630000011","direct Moroccan electronics wholesale — use sourcing-agent only if no direct channel"
"Car Phone Holder Magnetic","Électronique wholesale","sourced","5","25","Wholesale supplier","","PLACE ORDER","Alfa Gros","0630000011","electronics wholesale, direct importer"
"USB-C Cable 2m Braided","Électronique wholesale","sourced","10","30","Wholesale supplier","","PLACE ORDER","Alfa Gros / JemlaMaroc","0630000011","direct Moroccan electronics wholesale — use sourcing-agent only if no direct channel"
"USB Stick 16GB","Électronique wholesale","ordered","10","40","Wholesale supplier","","CHASE SHIPMENT (enter orderRef+tracking)","Alfa Gros / JemlaMaroc","0630000011","direct Moroccan electronics wholesale — use sourcing-agent only if no direct channel"
"Wireless Earphone Protective Case","Électronique wholesale","ordered","5","20","Wholesale supplier","","CHASE SHIPMENT (enter orderRef+tracking)","Alfa Gros","0630000011","electronics wholesale, direct importer"
"Digital Kitchen Timer Magnetic","Électronique wholesale","ordered","5","20","Wholesale supplier","","CHASE SHIPMENT (enter orderRef+tracking)","Tout à Tous / Jumia","","home decor + kitchen essentials"
"Solar Power Bank 5000-10000mAh","Électronique wholesale","sourced","5","40","Wholesale supplier","","PLACE ORDER","Alfa Gros / JemlaMaroc","0630000011","direct Moroccan electronics wholesale — use sourcing-agent only if no direct channel"
"Wireless Charging Pad","Électronique wholesale","sourced","5","35","Wholesale supplier","","PLACE ORDER","Alfa Gros / JemlaMaroc","0630000011","direct Moroccan electronics wholesale — use sourcing-agent only if no direct channel"
"Rechargeable Batteries AA+Charger","Électronique wholesale","ordered","5","45","Wholesale supplier","","CHASE SHIPMENT (enter orderRef+tracking)","Alfa Gros / JemlaMaroc","0630000011","direct Moroccan electronics wholesale — use sourcing-agent only if no direct channel"
"Portable UV Sterilizer Wand","Électronique wholesale","ordered","3","27","Wholesale supplier","","CHASE SHIPMENT (enter orderRef+tracking)","Alfa Gros / JemlaMaroc","0630000011","direct Moroccan electronics wholesale — use sourcing-agent only if no direct channel"
"Portable LED Desk Lamp USB","Électronique wholesale","sourced","5","30","Wholesale supplier","","PLACE ORDER","Alfa Gros / JemlaMaroc","0630000011","direct Moroccan electronics wholesale — use sourcing-agent only if no direct channel"
"Smartphone Ring Light Clip","Électronique wholesale","ordered","5","25","Wholesale supplier","","CHASE SHIPMENT (enter orderRef+tracking)","Alfa Gros","0630000011","electronics wholesale, direct importer"
"LED Keychain Flashlight","Électronique wholesale","ordered","10","30","Wholesale supplier","","CHASE SHIPMENT (enter orderRef+tracking)","Alfa Gros / JemlaMaroc","0630000011","direct Moroccan electronics wholesale — use sourcing-agent only if no direct channel"
"Phone Screen Magnifier 3D","Électronique wholesale","ordered","3","18","Wholesale supplier","","CHASE SHIPMENT (enter orderRef+tracking)","Alfa Gros","0630000011","electronics wholesale, direct importer"
"Bluetooth Tracker Key Finder","Électronique wholesale","sourced","5","40","Wholesale supplier","","PLACE ORDER","Alfa Gros / JemlaMaroc","0630000011","direct Moroccan electronics wholesale — use sourcing-agent only if no direct channel"
"Digital Thermometer Infrared","Électronique wholesale","sourced","5","40","Wholesale supplier","","PLACE ORDER","Alfa Gros / JemlaMaroc","0630000011","direct Moroccan electronics wholesale — use sourcing-agent only if no direct channel"
"Laptop Cooling Pad Dual Fan","Électronique wholesale","purchased","3","27","Wholesale supplier","","ENTER REAL SUPPLIER + orderRef","KRTechPro","0604118058","refurb PCs/workstations best for Dell Precision"
"Smartphone Stand Adjustable","Électronique wholesale","sourced","5","20","Wholesale supplier","","PLACE ORDER","Alfa Gros","0630000011","electronics wholesale, direct importer"
